Date,eri
1990Q1,89.53852766383312
1990Q2,90.1473840711238
1990Q3,96.86238505496708
1990Q4,97.87375642078403
1991Q1,97.66759008730152
1991Q2,94.51839138584366
1991Q3,94.15291915001433
1991Q4,95.0564147171663
1992Q1,94.89604123286324
1992Q2,97.00814127107174
1992Q3,96.14562347146666
1992Q4,83.03449697025995
1993Q1,80.88644658968083
1993Q2,83.20153680835324
1993Q3,83.40272793825002
1993Q4,83.05046101879645
1994Q1,86.38599229869983
1994Q2,85.36615633097377
1994Q3,84.70852667177489
1994Q4,85.78596400938231
1995Q1,83.51042366729085
1995Q2,81.0604516459901
1995Q3,81.20230627072644
1995Q4,80.4516290201088
1996Q1,80.5582598539314
1996Q2,81.79294657823391
1996Q3,82.73443937968953
1996Q4,88.41184980737596
1997Q1,92.66816203519022
1997Q2,94.87260110502967
1997Q3,97.09920035209386
1997Q4,98.13450059503846
1998Q1,100.00140733866533
1998Q2,99.93007187567609
1998Q3,99.26309237921824
1998Q4,96.78671835239675
1999Q1,96.6417265089791
1999Q2,98.49344136541158
1999Q3,98.44263766086503
1999Q4,100.50767148228834
2000Q1,102.07635984990615
2000Q2,100.70741121363483
2000Q3,98.96058913769009
2000Q4,99.56688071974624
2001Q1,97.33875726764904
2001Q2,98.16856010976922
2001Q3,98.19706096688772
2001Q4,98.29081774292139
2002Q1,98.51867399917323
2002Q2,97.81488509012854
2002Q3,99.27344391446736
2002Q4,99.69670269592199
2003Q1,97.30303048891444
2003Q2,94.92833114779991
2003Q3,94.90370865892275
2003Q4,96.82330458352374
2004Q1,101.34847581936218
2004Q2,101.78478921480958
2004Q3,101.64922044776722
2004Q4,100.06536841641645
2005Q1,100.63238282887137
2005Q2,101.29059682086823
2005Q3,99.20486923710239
2005Q4,98.89671009340759
2006Q1,98.33465864742163
2006Q2,99.58449806587015
2006Q3,101.47089758704526
2006Q4,102.93559088185155
2007Q1,103.97462285539886
2007Q2,103.50416596357184
2007Q3,103.66209462644701
2007Q4,101.08605736688513
2008Q1,95.3928831669731
2008Q2,92.64849445036087
2008Q3,91.26114945432498
2008Q4,82.70816320231131
2009Q1,76.28551238534489
2009Q2,79.93249708784366
2009Q3,81.784641040902
2009Q4,79.47157710348428
2010Q1,78.6583275843775
2010Q2,78.90351022129342
2010Q3,80.86403816627458
2010Q4,79.54972180882449
2011Q1,79.97671523604032
2011Q2,78.69497533586569
2011Q3,78.27104468956897
2011Q4,78.9836255730966
2012Q1,80.03906253141524
2012Q2,81.90634033756483
2012Q3,82.85448291125111
2012Q4,82.34715965318392
2013Q1,79.03597226690306
2013Q2,79.12111829210939
2013Q3,79.58648666054586
2013Q4,81.7770103836156
2014Q1,83.4619702848097
2014Q2,84.81058179443373
2014Q3,85.86326496533086
2014Q4,84.91664146553723
2015Q1,86.66528166549126
2015Q2,88.52414217197095
2015Q3,89.88010246087545
2015Q4,89.03672613841297
2016Q1,83.82286309665028
2016Q2,82.39209858105754
2016Q3,75.91915119141657
2016Q4,73.6659131771205
2017Q1,74.11854579359385
2017Q2,75.04335430788693
2017Q3,73.59511129263002
2017Q4,74.68333858821394
2018Q1,75.98847189832703
2018Q2,75.90854127248252
2018Q3,74.29429567066796
2018Q4,74.31430908261319
2019Q1,75.32011970343503
2019Q2,74.86600638214082
2019Q3,72.38755193457611
2019Q4,75.902857779602
2020Q1,75.68747497585426
2020Q2,73.70828428572675
2020Q3,73.60757476362045
2020Q4,73.94730511591689
2021Q1,76.4320378221006
2021Q2,77.54967793256804
2021Q3,77.60460971744011
2021Q4,77.24488372185192
2022Q1,77.77456352953953
2022Q2,75.7501915691511
2022Q3,73.7737124662417
2022Q4,73.57243611154156
2023Q1,73.58618571433577
2023Q2,75.50108630903183
2023Q3,76.67619803272407
2023Q4,75.78965373770956
2024Q1,76.88693808439079
2024Q2,77.24281994386091
2024Q3,78.39085530240418
2024Q4,78.74631246420633
2025Q1,78.25267098120645
2025Q2,78.95494060838706
2025Q3,78.32999533398244
2025Q4,77.51870488189822
2026Q1,78.08784749273232
2026Q2,78.06658208780398
2026Q3,78.81985905752077
