period,value,updated
1984Q3,0.7,2023-11-10T00:00:00.000Z
1984Q4,1.8,2022-11-11T00:00:00.000Z
1985Q1,1.0,2023-11-10T00:00:00.000Z
1985Q2,2.1,2023-11-10T00:00:00.000Z
1985Q3,0.0,2023-11-10T00:00:00.000Z
1985Q4,0.1,2022-11-11T00:00:00.000Z
1986Q1,1.0,2023-11-10T00:00:00.000Z
1986Q2,0.9,2023-11-10T00:00:00.000Z
1986Q3,0.6,2023-11-10T00:00:00.000Z
1986Q4,1.9,2023-11-10T00:00:00.000Z
1987Q1,0.7,2023-11-10T00:00:00.000Z
1987Q2,1.5,2019-11-11T00:00:00.000Z
1987Q3,2.5,2023-11-10T00:00:00.000Z
1987Q4,1.2,2025-11-13T00:00:00.000Z
1988Q1,1.6,2023-11-10T00:00:00.000Z
1988Q2,0.5,2023-11-10T00:00:00.000Z
1988Q3,1.2,2025-11-13T00:00:00.000Z
1988Q4,0.8,2021-11-11T00:00:00.000Z
1989Q1,0.5,2022-11-11T00:00:00.000Z
1989Q2,0.6,2023-11-10T00:00:00.000Z
1989Q3,0.2,2023-11-10T00:00:00.000Z
1989Q4,0.0,2023-11-10T00:00:00.000Z
1990Q1,0.5,2023-11-10T00:00:00.000Z
1990Q2,0.7,2023-11-10T00:00:00.000Z
1990Q3,-1.1,2023-11-10T00:00:00.000Z
1990Q4,-0.5,2023-11-10T00:00:00.000Z
1991Q1,-0.5,2022-11-11T00:00:00.000Z
1991Q2,-0.1,2023-11-10T00:00:00.000Z
1991Q3,-0.2,2023-11-10T00:00:00.000Z
1991Q4,0.1,2023-11-10T00:00:00.000Z
1992Q1,0.0,2015-05-27T23:00:00.000Z
1992Q2,-0.2,2023-11-10T00:00:00.000Z
1992Q3,0.5,2023-11-10T00:00:00.000Z
1992Q4,0.8,2023-11-10T00:00:00.000Z
1993Q1,0.5,2023-11-10T00:00:00.000Z
1993Q2,0.4,2022-11-11T00:00:00.000Z
1993Q3,0.9,2023-11-10T00:00:00.000Z
1993Q4,0.7,2023-11-10T00:00:00.000Z
1994Q1,1.0,2023-11-10T00:00:00.000Z
1994Q2,0.9,2023-11-10T00:00:00.000Z
1994Q3,1.0,2023-11-10T00:00:00.000Z
1994Q4,0.4,2023-11-10T00:00:00.000Z
1995Q1,0.5,2023-11-10T00:00:00.000Z
1995Q2,0.2,2022-11-11T00:00:00.000Z
1995Q3,1.1,2023-11-10T00:00:00.000Z
1995Q4,0.3,2023-11-10T00:00:00.000Z
1996Q1,0.7,2023-11-10T00:00:00.000Z
1996Q2,0.3,2023-11-10T00:00:00.000Z
1996Q3,0.9,2023-11-10T00:00:00.000Z
1996Q4,1.3,2025-11-13T00:00:00.000Z
1997Q1,1.6,2023-11-10T00:00:00.000Z
1997Q2,1.1,2022-11-11T00:00:00.000Z
1997Q3,0.9,2022-11-11T00:00:00.000Z
1997Q4,1.5,2022-11-11T00:00:00.000Z
1998Q1,0.7,2023-11-10T00:00:00.000Z
1998Q2,0.6,2023-11-10T00:00:00.000Z
1998Q3,0.2,2025-11-13T00:00:00.000Z
1998Q4,0.7,2023-11-10T00:00:00.000Z
1999Q1,0.7,2022-11-11T00:00:00.000Z
1999Q2,0.4,2025-11-13T00:00:00.000Z
1999Q3,1.7,2025-11-13T00:00:00.000Z
1999Q4,1.6,2025-11-13T00:00:00.000Z
2000Q1,1.3,2025-11-13T00:00:00.000Z
2000Q2,0.7,2022-11-11T00:00:00.000Z
2000Q3,0.6,2023-11-10T00:00:00.000Z
2000Q4,0.6,2023-11-10T00:00:00.000Z
2001Q1,0.8,2025-11-13T00:00:00.000Z
2001Q2,0.4,2022-11-11T00:00:00.000Z
2001Q3,0.5,2021-11-11T00:00:00.000Z
2001Q4,0.3,2023-11-10T00:00:00.000Z
2002Q1,0.3,2022-11-11T00:00:00.000Z
